STORE_ID,STATE,EMP_WAVE1
46,1,0
49,2,0
506,2,0
56,4,0
61,4,0
62,4,0
445,1,0
451,1,0
455,2,0
458,2,0
462,3,0
468,1,0
469,1,0
470,1,0
474,1,0
481,2,0
483,2,0
487,3,0
488,3,0
489,3,0
490,3,0
493,3,0
495,3,0
496,3,0
499,4,0
509,3,0
515,3,0
37,1,0
39,1,0
40,1,0
41,1,0
42,1,0
45,1,0
47,1,0
48,1,0
50,2,0
51,2,0
57,4,0
58,4,0
59,4,0
60,4,0
407,2,0
430,1,0
432,1,0
433,1,0
434,1,0
435,1,0
438,2,0
440,4,0
441,4,0
443,4,0
444,4,0
446,1,0
448,1,0
449,1,0
450,1,0
454,2,0
459,3,0
466,4,0
471,1,0
472,1,0
473,1,0
475,1,0
476,1,0
477,1,0
478,1,0
485,2,0
491,3,0
492,3,0
497,4,0
498,4,0
501,1,0
503,1,0
510,3,0
511,3,0
514,3,0
516,3,0
521,1,0
522,1,0
113,1,1
123,1,1
135,3,1
138,3,1
153,1,1
181,2,1
191,4,1
231,1,1
236,1,1
254,4,1
255,4,1
294,1,1
306,3,1
311,4,1
315,1,1
335,1,1
372,1,1
6,3,1
14,2,1
26,1,1
27,2,1
30,2,1
31,2,1
33,3,1
36,4,1
77,3,1
78,3,1
81,4,1
82,4,1
83,4,1
85,1,1
89,1,1
94,2,1
103,4,1
112,4,1
128,2,1
129,3,1
131,3,1
139,4,1
143,4,1
144,4,1
145,1,1
147,1,1
148,1,1
151,1,1
152,1,1
157,2,1
161,3,1
163,3,1
164,3,1
165,4,1
169,1,1
170,1,1
187,3,1
190,3,1
196,4,1
197,1,1
234,1,1
240,3,1
241,3,1
242,3,1
245,3,1
259,1,1
268,1,1
271,2,1
272,2,1
274,2,1
276,2,1
296,1,1
299,2,1
301,2,1
320,2,1
321,2,1
324,3,1
326,3,1
330,4,1
334,1,1
349,3,1
354,4,1
356,4,1
357,4,1
371,1,1
373,1,1
375,1,1
378,1,1
381,1,1
403,3,1
406,4,1
407,4,1
409,1,1
1,1,1
2,1,1
3,2,1
4,3,1
5,3,1
8,4,1
9,1,1
10,1,1
11,1,1
12,1,1
13,2,1
15,3,1
16,3,1
17,3,1
18,3,1
19,1,1
21,2,1
22,3,1
23,1,1
24,1,1
28,2,1
29,2,1
32,3,1
34,3,1
35,4,1
38,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
73,2,1
75,2,1
76,3,1
79,3,1
80,4,1
84,1,1
86,1,1
87,1,1
88,1,1
91,1,1
92,1,1
93,1,1
95,2,1
96,2,1
97,2,1
98,2,1
99,3,1
101,3,1
102,3,1
104,4,1
105,1,1
106,1,1
107,1,1
108,1,1
111,3,1
114,1,1
115,1,1
116,1,1
118,1,1
119,1,1
120,1,1
122,1,1
124,1,1
125,2,1
130,3,1
132,3,1
133,3,1
134,3,1
136,3,1
137,3,1
140,4,1
141,4,1
142,4,1
146,1,1
149,1,1
150,1,1
156,1,1
158,2,1
159,2,1
162,3,1
166,4,1
168,1,1
171,1,1
172,1,1
173,1,1
174,1,1
176,1,1
178,2,1
179,2,1
180,2,1
182,2,1
183,2,1
185,2,1
186,3,1
189,3,1
192,4,1
193,4,1
195,4,1
198,1,1
199,2,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
207,2,1
208,3,1
209,3,1
210,4,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,2,1
217,2,1
218,2,1
219,2,1
220,2,1
221,2,1
222,3,1
223,3,1
225,3,1
226,4,1
228,4,1
229,1,1
230,1,1
232,1,1
233,1,1
235,1,1
237,1,1
238,2,1
239,2,1
243,3,1
244,3,1
247,4,1
248,4,1
249,1,1
250,2,1
253,3,1
257,1,1
258,1,1
260,1,1
262,1,1
264,1,1
265,1,1
267,1,1
269,2,1
273,2,1
275,2,1
277,2,1
278,2,1
282,3,1
284,3,1
285,3,1
286,3,1
287,3,1
288,3,1
289,3,1
290,4,1
291,4,1
292,4,1
295,1,1
297,1,1
303,3,1
304,3,1
305,3,1
307,3,1
310,4,1
312,1,1
313,1,1
314,1,1
316,1,1
317,1,1
318,2,1
319,2,1
322,3,1
325,3,1
333,1,1
336,1,1
337,1,1
339,1,1
340,1,1
341,2,1
343,2,1
346,2,1
348,3,1
350,3,1
351,3,1
352,3,1
353,3,1
355,4,1
359,1,1
360,1,1
361,1,1
362,2,1
363,2,1
364,2,1
366,3,1
368,4,1
369,1,1
370,1,1
376,1,1
377,1,1
379,1,1
380,1,1
383,1,1
384,1,1
385,1,1
386,1,1
391,2,1
393,2,1
396,3,1
397,3,1
398,3,1
399,3,1
400,3,1
401,3,1
402,3,1
405,3,1
410,1,1
411,1,1
412,2,1
413,1,1
414,1,1
415,1,1
417,1,1
418,1,1
419,2,1
421,2,1
422,2,1
423,2,1
424,2,1
426,3,1
427,4,1
428,4,1
